State / Union Territory,Year,Region,SO2 (Annual Average),NO2 (Annual Average),PM10 (Annual Average),PM2.5 (Annual Average)
"Andhra Pradesh",2022,"South",7.2,19.6,71.3,34.3
"Arunachal Pradesh",2022,"Northeast",15.0,11.5,57.5,23.0
"Assam",2022,"Northeast",8.7,14.1,94.0,44.6
"Bihar",2022,"East",8.3,33.5,176.6,80.6
"Chhattisgarh",2022,"Central",9.4,17.8,68.3,29.6
"Goa",2022,"West",5.5,14.0,62.7,27.4
"Gujarat",2022,"West",15.0,20.4,99.0,38.6
"Haryana",2022,"North",9.6,29.5,166.2,72.0
"Himachal Pradesh",2022,"North",2.5,9.6,71.6,30.0
"Jharkhand",2022,"East",12.0,25.0,150.0,70.0
"Karnataka",2022,"South",10.0,20.0,90.0,40.0
"Kerala",2022,"South",8.0,15.0,60.0,25.0
"Madhya Pradesh",2022,"Central",12.0,25.0,130.0,60.0
"Maharashtra",2022,"West",12.5,28.4,96.3,42.8
"Manipur",2022,"Northeast",4.8,10.0,75.0,41.0
"Meghalaya",2022,"Northeast",8.1,10.9,60.2,28.0
"Mizoram",2022,"Northeast",2.0,4.8,31.6,10.0
"Nagaland",2022,"Northeast",14.5,5.5,8.3,33.0
"Odisha",2022,"East",9.7,18.5,108.0,48.7
"Punjab",2022,"North",6.0,16.5,93.5,-
"Rajasthan",2022,"North",7.6,23.0,132.0,49.5
"Sikkim",2022,"Northeast",8.8,5.8,38.3,16.0
"Tamil Nadu",2022,"South",14.3,18.1,57.5,25.7
"Telangana",2022,"South",13.0,23.5,82.5,38.0
"Tripura",2022,"Northeast",6.0,12.0,50.0,25.0
"Uttarakhand",2022,"North",2.0,8.0,80.0,40.0
"Uttar Pradesh",2022,"North",10.0,30.0,150.0,70.0
"West Bengal",2022,"East",12.0,25.0,120.0,60.0
"Andaman & Nicobar Islands",2022,"East",-, -,22,-
"Chandigarh",2022,"North",7,27,113,57
"Dadra & Nagar Haveli",2022,"West",-, -, -, -
"Daman & Diu",2022,"West",-, -, -, -
"Delhi",2022,"North",9,41,207,98
"Jammu & Kashmir",2022,"North",11.0,22.0,85.0,42.0
"Ladakh",2022,"North",-, -, -, -
"Lakshadweep",2022,"South",-, -, -, -
"Puducherry",2022,"South",10.0,20.0,70.0,30.0
"Andhra Pradesh",2021,"South",7.0,17.0,66.0,29.0
"Arunachal Pradesh",2021,"Northeast",3.0,5.0,67,-
"Assam",2021,"Northeast",6.5,12.0,92.0,42.0
"Bihar",2021,"East",8.0,24.0,160.0,80.0
"Chhattisgarh",2021,"Central",9.0,16.0,67.0,29.0
"Goa",2021,"West",5.5,14.0,63.0,28.0
"Gujarat",2021,"West",16.0,22.0,106.0,42.0
"Haryana",2021,"North",10.0,29.0,170.0,75.0
"Himachal Pradesh",2021,"North",2.5,9.0,71.0,30.0
"Jharkhand",2021,"East",15.0,30.0,200.0,90.0
"Karnataka",2021,"South",10.0,18.0,85.0,35.0
"Kerala",2021,"South",7.0,12.0,55.0,25.0
"Madhya Pradesh",2021,"Central",12.0,22.0,120.0,55.0
"Maharashtra",2021,"West",13.0,27.0,95.0,43.0
"Manipur",2021,"Northeast",6.0,26.0,123.0,48.0
"Meghalaya",2021,"Northeast",7.0,10.0,65.0,25.0
"Mizoram",2021,"Northeast",2.0,5.0,35.0,20.0
"Nagaland",2021,"Northeast",2.0,11.0,-,-
"Odisha",2021,"East",9.0,18.0,100.0,45.0
"Punjab",2021,"North",7.0,17.0,100.0,-
"Rajasthan",2021,"North",10.0,26.0,135.0,55.0
"Sikkim",2021,"Northeast",6.0,6.0,37.0,16.0
"Tamil Nadu",2021,"South",10.0,19.0,60.0,28.0
"Telangana",2021,"South",13.0,23.0,85.0,40.0
"Tripura",2021,"Northeast",6.0,12.0,60.0,30.0
"Uttarakhand",2021,"North",8.0,20.0,85.0,40.0
"Uttar Pradesh",2021,"North",10.0,30.0,155.0,75.0
"West Bengal",2021,"East",11.0,25.0,120.0,60.0
"Andaman & Nicobar Islands",2021,"East",-, -,22,-
"Chandigarh",2021,"North",6,24,98,49
"Dadra & Nagar Haveli",2021,"West",17.0,22.0,76.0,30.0
"Daman & Diu",2021,"West",-, -, -, -
"Delhi",2021,"North",10,42,207,107
"Jammu & Kashmir",2021,"North",8.0,16.0,120.0,50.0
"Ladakh",2021,"North",-, -, -, -
"Lakshadweep",2021,"South",-, -, -, -
"Puducherry",2021,"South",10.0,20.0,70.0,30.0
"Andhra Pradesh",2020,"South",6.8,16.5,65.0,28.0
"Arunachal Pradesh",2020,"Northeast",2.5,4.8,65.0,-
"Assam",2020,"Northeast",6.0,11.5,90.0,41.0
"Bihar",2020,"East",7.5,23.5,155.0,78.0
"Chhattisgarh",2020,"Central",9.2,15.8,66.0,28.0
"Goa",2020,"West",5.0,13.5,62.0,27.0
"Gujarat",2020,"West",15.5,21.5,105.0,41.0
"Haryana",2020,"North",9.5,28.5,165.0,74.0
"Himachal Pradesh",2020,"North",2.0,8.5,70.0,29.0
"Jharkhand",2020,"East",14.0,29.0,195.0,88.0
"Karnataka",2020,"South",9.5,17.5,82.0,34.0
"Kerala",2020,"South",6.5,11.5,53.0,24.0
"Madhya Pradesh",2020,"Central",11.5,21.5,115.0,54.0
"Maharashtra",2020,"West",12.0,26.5,92.0,42.0
"Manipur",2020,"Northeast",5.5,25.0,120.0,47.0
"Meghalaya",2020,"Northeast",6.5,9.8,63.0,24.0
"Mizoram",2020,"Northeast",1.8,4.8,34.0,19.0
"Nagaland",2020,"Northeast",1.8,10.0,-,-
"Odisha",2020,"East",8.5,17.5,98.0,44.0
"Punjab",2020,"North",6.5,16.5,95.0,-
"Rajasthan",2020,"North",9.5,25.0,130.0,54.0
"Sikkim",2020,"Northeast",5.5,5.8,36.0,15.0
"Tamil Nadu",2020,"South",9.5,18.0,58.0,27.0
"Telangana",2020,"South",12.5,22.5,83.0,39.0
"Tripura",2020,"Northeast",5.5,11.5,58.0,29.0
"Uttarakhand",2020,"North",7.5,19.5,83.0,38.0
"Uttar Pradesh",2020,"North",9.5,29.0,150.0,74.0
"West Bengal",2020,"East",10.5,24.0,118.0,58.0
"Andaman & Nicobar Islands",2020,"East",-, -,22,-
"Chandigarh",2020,"North",5,23,95,48
"Dadra & Nagar Haveli",2020,"West",16.5,21.5,75.0,29.0
"Daman & Diu",2020,"West",-, -, -, -
"Delhi",2020,"North",9,40,198,98
"Jammu & Kashmir",2020,"North",7.5,15.5,115.0,49.0
"Ladakh",2020,"North",-, -, -, -
"Lakshadweep",2020,"South",-, -, -, -
"Puducherry",2020,"South",9.5,19.5,68.0,29.0
State_Union_Territory,Year,Region,SO2 (Annual Average),NO2 (Annual Average),PM10 (Annual Average),PM2.5 (Annual Average)
Andhra Pradesh,2019,South,5.8,17.7,64.1,27.6
Arunachal Pradesh,2019,Northeast,3.0,7.0,85.5,NA
Assam,2019,Northeast,6.4,13.4,75.2,26.7
Bihar,2019,East,9.4,34.0,141.3,78.0
Chandigarh,2019,North,2.0,18.6,96.6,63.2
Chattisgarh,2019,Central,8.6,18.6,67.5,35.2
Dadra & Nagar Haveli and Daman & Diu,2019,West,20.0,21.8,91.2,33.0
Delhi,2019,North,4.3,71.6,201.1,104.8
Goa,2019,West,8.7,13.4,68.4,33.2
Gujarat,2019,West,20.5,25.6,129.6,37.1
Himachal Pradesh,2019,North,2.4,13.1,74.8,27.1
Jammu & Kashmir,2019,North,3.0,17.0,138.3,37.7
Jharkhand,2019,East,23.2,37.6,176.7,NA
Karnataka,2019,South,6.1,16.1,66.6,29.6
Kerala,2019,South,3.9,10.7,45.1,23.0
Madhya Pradesh,2019,Central,12.7,19.3,122.1,44.0
Maharashtra,2019,West,16.0,39.1,95.6,39.5
Manipur,2019,Northeast,9.0,21.0,109.0,54.0
Meghalaya,2019,Northeast,6.6,13.1,54.3,7.0
Mizoram,2019,Northeast,2.0,6.6,34.1,NA
Nagaland,2019,Northeast,2.0,7.6,83.0,NA
Odisha,2019,East,9.2,17.0,109.6,40.9
Puducherry,2019,South,3.8,9.5,42.8,NA
Punjab,2019,North,7.8,18.5,123.9,NA
Rajasthan,2019,North,10.6,29.5,186.8,NA
Sikkim,2019,Northeast,5.8,6.3,39.9,NA
Tamilnadu,2019,South,10.2,18.4,69.3,37.8
Telangana,2019,South,6.9,41.0,100.2,43.7
Tripura,2019,Northeast,4.0,10.5,76.5,42.5
Uttar Pradesh,2019,North,14.7,36.8,213.3,103.3
Uttarakhand,2019,North,17.0,26.3,145.4,NA
West Bengal,2019,East,9.5,36.9,134.9,53.8
"State/UT","Year","SO2 (µg/m³)","NO2 (µg/m³)","PM10 (µg/m³)","PM2.5 (µg/m³)"
"Andhra Pradesh","2018","6.2","19.0","73.9","37.8"
"Arunachal Pradesh","2018","3.0","9.0","100.0",""
"Assam","2018","6.5","14.2","91.7","42.9"
"Bihar","2018","11.0","24.3","130.8","72.5"
"Chandigarh","2018","2.0","16.0","100.2","59.0"
"Chattisgarh","2018","8.0","16.7","73.1","30.4"
"Dadra & Nagar Haveli","2018","23.0","25.0","91.5","36.0"
"Daman & Diu","2018","22.0","26.0","104.0","38.0"
"Delhi","2018","6.0","67.3","219.0","111.8"
"Goa","2018","7.0","13.5","65.1","27.9"
"Gujarat","2018","16.9","25.1","185.4","68.9"
"Haryana","2018","10.0","9.0","140.0",""
"Himachal Pradesh","2018","2.2","10.7","80.7","37.8"
"Jammu & Kashmir","2018","4.0","18.7","161.0",""
"Jharkhand","2018","19.0","35.6","192.1",""
"Karnataka","2018","4.5","18.8","81.1","37.6"
"Kerala","2018","3.8","12.1","51.4","31.1"
"Lakshwadeep","2018","","","44.0",""
"Madhya Pradesh","2018","12.1","20.8","100.7","50.3"
"Maharashtra","2018","14.0","32.8","104.5","51.2"
"Manipur","2018","10.0","15.0","70.0",""
"Meghalaya","2018","6.9","11.3","57.6","27.5"
"Mizoram","2018","2.0","8.8","52.4","20.9"
"Nagaland","2018","2.0","5.0","105.0",""
"Odisha","2018","8.4","18.0","105.0","47.0"
"Puducherry","2018","4.0","10.5","43.3",""
"Punjab","2018","7.4","17.1","123.0",""
"Rajasthan","2018","8.6","28.5","181.5",""
"Sikkim","2018","6.9","7.7","50.5",""
"Tamilnadu","2018","10.4","18.6","68.1","32.0"
"Telangana","2018","6.4","29.0","90.2","44.1"
"Tripura","2018","11.5","15.5","77.0","42.5"
"Uttar Pradesh","2018","11.5","33.8","195.2","100.2"
"Uttarakhand","2018","14.3","26.2","160.3",""
"West Bengal","2018","7.5","33.7","124.4","61.7"